Omega_over_gamma,Delta_star_over_gamma,local_slope_dDelta_dOmega
0.2656125,0.0837989581256359,2.4381572604287243
0.265615,0.0838050532598048,2.4379507303058534
0.2656175,0.0838111478792875,2.4377443641261545
0.26562,0.0838172419816255,2.4375376701690676
0.2656225,0.0838233355676383,2.4373313039699376
0.265625,0.0838294286381453,2.43712493774375
0.2656275,0.0838355211923271,2.436918407691657
0.26563,0.0838416132301837,2.4367118775930767
0.2656325,0.083847704751715,2.4365056753052037
0.265635,0.0838537957585603,2.4362994730221788
0.2656375,0.0838598862490802,2.4360932707689753
0.26564,0.0838659762249141,2.4358870685331326
0.2656425,0.0838720656844228,2.4356808662258396
0.265645,0.0838781546292453,2.4354749918103864
0.2656475,0.0838842430593818,2.4352691173706673
0.26565,0.0838903309748321,2.435062915063381
